source,target,is_chronic_path,gender_f,gender_m,gender_all,age_le_40,age_mid,age_gt_60,age_all,within_02_years,within_05_years,within_10_years,within_all_years,Weight
13,19,0,1,0,1,0,1,0,1,1,1,1,1,1
13,19,0,1,0,1,1,0,0,1,1,1,1,1,3
13,20,0,0,1,1,0,0,1,1,1,1,1,1,9
13,20,0,0,1,1,0,1,0,1,1,1,1,1,2
13,20,0,0,1,1,1,0,0,1,1,1,1,1,2
13,20,0,1,0,1,0,0,1,1,0,1,1,1,1
13,20,0,1,0,1,0,0,1,1,1,1,1,1,5
13,20,0,1,0,1,0,1,0,1,1,1,1,1,29
13,20,0,1,0,1,1,0,0,1,0,1,1,1,1
13,20,0,1,0,1,1,0,0,1,1,1,1,1,5
13,10,0,0,1,1,0,0,1,1,1,1,1,1,25
13,10,0,0,1,1,0,1,0,1,0,1,1,1,1
13,10,0,1,0,1,0,0,1,1,1,1,1,1,79
13,10,0,1,0,1,0,1,0,1,0,0,0,1,1
13,10,0,1,0,1,0,1,0,1,0,1,1,1,1
13,10,0,1,0,1,0,1,0,1,1,1,1,1,3
13,10,0,1,0,1,1,0,0,1,0,0,1,1,3
13,10,0,1,0,1,1,0,0,1,0,1,1,1,2
13,10,0,1,0,1,1,0,0,1,1,1,1,1,6
13,21,0,0,1,1,0,0,1,1,0,1,1,1,1
13,21,0,0,1,1,0,0,1,1,1,1,1,1,18
13,21,0,0,1,1,0,1,0,1,0,1,1,1,2
13,21,0,1,0,1,0,0,1,1,0,0,0,1,1
13,21,0,1,0,1,0,0,1,1,1,1,1,1,17
13,21,0,1,0,1,0,1,0,1,0,0,1,1,1
13,21,0,1,0,1,0,1,0,1,0,1,1,1,2
13,21,0,1,0,1,0,1,0,1,1,1,1,1,3
13,21,0,1,0,1,1,0,0,1,0,0,1,1,2
13,22,0,0,1,1,0,0,1,1,1,1,1,1,8
13,22,0,0,1,1,0,1,0,1,1,1,1,1,1
13,22,0,1,0,1,0,0,1,1,1,1,1,1,8
13,22,0,1,0,1,0,1,0,1,0,0,0,1,1
13,22,0,1,0,1,0,1,0,1,0,1,1,1,5
13,22,0,1,0,1,0,1,0,1,1,1,1,1,12
13,22,0,1,0,1,1,0,0,1,0,0,1,1,2
13,22,0,1,0,1,1,0,0,1,1,1,1,1,5
13,11,0,0,1,1,0,0,1,1,1,1,1,1,1
13,11,0,1,0,1,0,0,1,1,0,0,1,1,3
13,11,0,1,0,1,0,0,1,1,0,1,1,1,1
13,11,0,1,0,1,0,0,1,1,1,1,1,1,10
13,11,0,1,0,1,0,1,0,1,1,1,1,1,1
13,23,0,0,1,1,0,0,1,1,0,1,1,1,1
13,23,0,0,1,1,0,0,1,1,1,1,1,1,52
13,23,0,1,0,1,0,0,1,1,1,1,1,1,7
13,24,0,0,1,1,0,0,1,1,1,1,1,1,11
13,24,0,0,1,1,0,1,0,1,1,1,1,1,2
13,24,0,1,0,1,0,0,1,1,1,1,1,1,15
13,24,0,1,0,1,0,1,0,1,0,1,1,1,7
13,24,0,1,0,1,0,1,0,1,1,1,1,1,18
13,25,0,0,1,1,0,0,1,1,1,1,1,1,36
13,25,0,0,1,1,0,1,0,1,0,0,1,1,2
13,25,0,0,1,1,0,1,0,1,1,1,1,1,3
13,25,0,1,0,1,0,0,1,1,0,1,1,1,1
